Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu
Akhisar,290,1,25,0,0,0,0,0,1580000.0,2,1,3.0,1,0,0,1,0,2
Sehzadeler,120,1,50,1,1,0,0,0,3250000.0,3,1,5.0,2,0,1,0,0,2
Soma,460,1,25,0,0,1,0,0,1850000.0,2,1,3.0,1,0,1,0,0,2
Sehzadeler,231,1,37,0,0,1,0,0,4200000.0,3,1,3.0,1,0,0,0,1,2
Akhisar,280,3,5,0,0,1,1,1,11000000.0,4,2,3.0,3,2,1,0,0,2
Soma,300,1,21,0,1,1,0,0,3500000.0,2,1,0.0,1,0,0,1,0,0
Salihli,210,3,2,1,0,1,1,0,5295000.0,3,1,4.0,3,0,1,0,0,2
Salihli,50,1,8,0,1,0,0,0,1925000.0,1,1,3.0,1,0,1,0,0,2
Yunusemre,85,1,4,0,1,1,1,0,3175000.0,2,1,0.5,3,0,0,1,0,1
Salihli,55,1,10,0,0,0,0,1,1650000.0,1,1,5.0,1,0,1,0,0,2
Yunusemre,180,2,20,0,0,0,1,0,2700000.0,2,1,3.0,1,0,1,0,0,2
Akhisar,130,2,35,0,0,0,0,0,2150000.0,3,1,2.0,3,0,0,1,0,1
Salihli,105,1,20,1,0,0,0,0,2600000.0,2,1,3.0,1,0,0,1,0,1
Sehzadeler,200,2,6,1,0,1,1,0,9650000.0,3,1,4.0,3,0,1,0,0,2
Yunusemre,185,2,1,0,0,0,1,0,9750000.0,3,1,5.0,3,0,1,0,0,1
Turgutlu,160,2,6,0,1,1,0,0,4200000.0,4,1,4.0,3,0,1,0,0,1
Yunusemre,46,1,0,0,1,1,1,0,2900000.0,1,1,2.0,3,0,1,0,0,1
Soma,180,1,35,1,0,0,0,0,3420000.0,3,1,1.0,3,0,1,0,0,0
Saruhanli,147,2,1,0,1,1,0,0,3100000.0,2,1,4.0,3,0,1,0,0,1
Yunusemre,85,1,32,0,1,1,0,0,3100000.0,2,1,5.0,3,0,1,0,0,1
Koprubasi,180,1,40,0,0,0,0,0,1350000.0,3,1,3.0,1,0,1,0,0,2
Turgutlu,141,1,30,1,0,1,0,0,6500000.0,3,1,3.0,2,0,1,0,0,2
Salihli,85,1,24,0,0,0,0,0,4600000.0,2,1,3.0,1,0,0,0,1,2
Yunusemre,70,1,6,1,1,0,0,0,2849000.0,2,1,4.0,3,0,1,0,0,1
Turgutlu,120,1,6,0,1,1,0,0,2999000.0,3,1,4.0,3,0,1,0,0,2
Yunusemre,85,1,4,0,1,1,0,0,3175000.0,2,1,3.0,3,2,1,0,0,1
Akhisar,90,3,0,0,1,0,0,0,3050000.0,2,1,2.0,3,0,1,0,0,1
Akhisar,145,1,8,1,1,1,1,0,2950000.0,3,1,0.5,3,0,1,0,0,2
Akhisar,70,1,0,1,1,0,1,0,2590000.0,2,0,1.0,3,0,1,0,0,1
Yunusemre,75,1,6,1,0,0,0,0,1700000.0,2,1,0.0,3,0,1,0,0,1
Yunusemre,110,1,15,0,0,0,0,0,4750000.0,2,1,3.0,2,2,1,0,0,2
Soma,100,1,0,1,1,0,1,0,2750000.0,2,1,0.5,2,2,1,0,0,1
Saruhanli,285,2,5,0,0,0,1,0,8650000.0,6,1,4.0,3,0,0,0,1,2
Turgutlu,150,1,26,1,0,0,0,0,2650000.0,3,1,3.0,3,0,1,0,0,2
Akhisar,100,1,0,0,1,1,0,0,3350000.0,2,1,3.0,3,2,1,0,0,2
Yunusemre,240,2,20,1,1,1,0,0,4200000.0,4,1,5.0,3,0,0,0,1,1
Salihli,125,1,6,1,1,1,1,0,4900000.0,3,1,5.0,3,0,0,1,0,1
Akhisar,135,1,0,1,1,1,0,0,3625000.0,3,1,2.0,3,2,1,0,0,1
Yunusemre,90,1,8,1,1,1,1,0,4900000.0,2,1,2.0,3,0,0,0,1,1
Salihli,148,1,15,0,0,1,0,0,6750000.0,3,1,0.0,1,0,0,0,1,2
Akhisar,150,2,0,0,1,0,1,0,6600000.0,5,1,5.0,3,2,1,0,0,2
Demirci,65,1,9,1,0,0,1,0,1685000.0,2,1,0.0,2,0,0,1,0,1
Yunusemre,110,1,12,1,1,0,0,0,3300000.0,3,1,5.0,3,0,1,0,0,2
Salihli,110,1,0,0,0,1,0,0,4500000.0,2,1,5.0,3,2,1,0,0,1
Sehzadeler,135,1,16,0,1,0,1,0,5200000.0,3,1,3.0,3,0,1,0,0,2
Yunusemre,48,1,1,1,0,1,0,1,4850000.0,1,1,12.0,2,2,0,1,0,2
