Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Yunusemre,120,1,6. Kat,21 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1
Yunusemre,60,1,2. Kat,1 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3150000.0,1,1
Sehzadeler,100,1,4. Kat,26 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1
Turgutlu,209,1,Bahçe Katı,11 Yaşında,Doğalgaz Sobası,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,6750000.0,3,1
Sehzadeler,115,1,Ara Kat,35 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3200000.0,3,1
Salihli,52,1,5. Kat,6 Yaşında,Klima,Var,Var,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2100000.0,1,1
Akhisar,110,1,En Üst Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1
Yunusemre,120,1,Kot 3,15 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,6250000.0,2,1
Turgutlu,130,2,Yüksek Giriş,1 Yaşında,Klima,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2550000.0,2,1
Gordes,110,1,Bahçe Katı,30 Yaşında,Soba,Yok,Yok,Yok,-,-,Müstakil Tapulu,Hayır,-,4000000.0,3,0
Turgutlu,342,1,-,27 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,16000000.0,4,1
Salihli,150,1,8. Kat,25 Yaşında,Klima,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3480000.0,3,1
Turgutlu,110,1,En Üst Kat,20 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0,2,1
Sehzadeler,90,1,2. Kat,35 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1
Sehzadeler,70,1,Zemin,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2650000.0,2,1
Sehzadeler,150,1,Çatı Katı,31 Yaşında,Soba,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2200000.0,3,1
Yunusemre,115,1,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0,2,1
Yunusemre,170,2,4. Kat,11 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5750000.0,3,1
