Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
3.750.000 TL,Soma,180,2,3. Kat,11 Yaşında,Jeotermal Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0,4,1
3.075.000 TL,Akhisar,105,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3075000.0,2,1
4.000.000 TL,Salihli,92,1,5. Kat,1 Yaşında,Doğalgaz Sobası,Var,Yok,Var,-,-,Kat Mülkiyeti,-,Eşyalı Değil,4000000.0,2,1
3.500.000 TL,Turgutlu,110,1,3. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3500000.0,2,1
2.675.000 TL,Salihli,155,1,4. Kat,26 Yaşında,Klima,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2675000.0,3,1
15.000.000 TL,Akhisar,225,3,Bahçe Katı,1 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,15000000.0,5,1
3.350.000 TL,Turgutlu,125,1,4. Kat,31 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,3,1
3.400.000 TL,Yunusemre,85,1,2. Kat,Sıfır Bina,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1
6.500.000 TL,Turgutlu,170,2,3. Kat,5 Yaşında,Merkezi (Pay Ölçer),Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,6500000.0,3,1
3.750.000 TL,Akhisar,180,1,3. Kat,21 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3750000.0,4,1
5.195.000 TL,Yunusemre,165,1,Ara Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5195000.0,3,1
3.975.000 TL,Sehzadeler,110,1,Ara Kat,30 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3975000.0,3,1
2.950.000 TL,Akhisar,90,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2950000.0,2,1
4.100.000 TL,Yunusemre,125,1,5. Kat,21 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4100000.0,3,1
4.900.000 TL,Yunusemre,90,1,3. Kat,3 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,4900000.0,2,1
6.250.000 TL,Turgutlu,140,2,3. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,-,6250000.0,3,1
4.150.000 TL,Yunusemre,115,-,Ara Kat,23 Yaşında,Kombi,Yok,Var,Var,İkinci El,-,Kat İrtifakı,Hayır,Eşyalı Değil,4150000.0,3,1
7.000.000 TL,Turgutlu,165,2,4. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,7000000.0,3,1
4.600.000 TL,Yunusemre,115,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4600000.0,3,1
2.499.999 TL,Yunusemre,60,1,5. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,2499999.0,1,1
5.650.000 TL,Salihli,140,1,2. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5650000.0,3,1
4.750.000 TL,Saruhanli,135,1,Ara Kat,Sıfır Bina,Kombi,Yok,Var,Yok,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4750000.0,3,1
3.750.000 TL,Turgutlu,120,1,5. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3750000.0,2,1
4.200.000 TL,Akhisar,140,2,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4200000.0,3,1
3.375.000 TL,Sehzadeler,135,1,Zemin,20 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3375000.0,3,1
6.625.000 TL,Salihli,178,2,1. Kat,1 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,6625000.0,3,1
4.450.000 TL,Turgutlu,160,2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4450000.0,3,1
3.150.000 TL,Sehzadeler,100,1,Yarı Bodrum,13 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3150000.0,3,1
3.650.000 TL,Saruhanli,105,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3650000.0,2,1
3.250.000 TL,Sehzadeler,180,1,-,18 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,3250000.0,2,1
16.000.000 TL,Yunusemre,210,3,-,Sıfır Bina,Isı Pompası,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,16000000.0,4,1
3.450.000 TL,Akhisar,100,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0,2,1
3.000.000 TL,Selendi,130,1,-,5 Yaşında,Soba,Yok,Yok,Yok,Sıfır,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,3000000.0,3,1
4.200.000 TL,Yunusemre,110,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4200000.0,2,1
5.500.000 TL,Turgutlu,145,1,4. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5500000.0,3,1
4.000.000 TL,Turgutlu,135,1,3. Kat,26 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,-,4000000.0,3,1
4.500.000 TL,Yunusemre,115,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4500000.0,2,1
4.900.000 TL,Yunusemre,220,2,En Üst Kat,8 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4900000.0,5,1
3.750.000 TL,Sehzadeler,90,1,4. Kat,31 Yaşında,Klima,Var,Var,Var,-,Kiracılı,Müstakil Tapulu,Evet,Eşyalı Değil,3750000.0,2,1
3.300.000 TL,Turgutlu,110,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3300000.0,2,1
4.980.000 TL,Turgutlu,120,1,4. Kat,6 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4980000.0,2,1
3.250.000 TL,Akhisar,110,-,1. Kat,4 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3250000.0,2,1
3.050.000 TL,Sehzadeler,95,1,3. Kat,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3050000.0,2,1
