Baslik,Fiyat,Il,Ilce,Mahalle,Konum,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Cephe,Yön,Aidat,Krediye Uygun,Takas,Site İçinde,Güvenlik,Eşya Durumu,İlan Durumu,Ilan_No,Ilan_Tarihi,Link,Cekilme_Tarihi
UZUN EMLAK'TAN MÜKEMMEL TERASLI DUBLEKS DAİRE,5.650.000 TL,Manisa,Yunusemre,Yeni Mah.,Manisa / Yunusemre / Yeni Mah.,4 + 1,145,2,4. Kat,2 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,129877-318,10-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-satilik/daire/129877-318,2025-12-03 18:28:21
KİRVEM EMLAK'TAN EMSALSİZ-5+1-205m2 DUBLEKS-TERASLI,5.750.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,5 + 1,205,1,5. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,"Kuzey, Doğu",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162496-38,07-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/162496-38,2025-12-03 18:28:42
ÖZ DOST EMLAKTAN MURADİYEDE SATILIK DUBLEX,4.800.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,4 + 1,165,2,3. Kat,4 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,137460-94,15-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/137460-94,2025-12-03 18:29:05
MANİSA MERKEZDE SATILIK 2+1 ARAKAT,4.250.000 TL,Manisa,Yunusemre,Ayni Mah.,Manisa / Yunusemre / Ayni Mah.,2 + 1,115,1,2. Kat,16 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,150 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163779-19,25-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-ayni-ali-satilik/daire/163779-19,2025-12-03 18:29:30
"YILDIZ EMLAK "" TAN 2+1 SIFIR GENİŞ DAİRE",3.250.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,85,1,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,İçi Sıfır 1+1 Daire ⭕️,Hatırlatmaları,Eşyalı Değil,Satılık,152164-35,12-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/152164-35,2025-12-03 18:29:52
TURPADAN CUMHURİYET MH. SATILIK SIFIR DAİRELER,6.300.000 TL,Manisa,Turgutlu,Cumhuriyet Mah.,Manisa / Turgutlu / Cumhuriyet Mah.,3 + 1,130,2,Ara Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,144722-278,24-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-cumhuriyet-satilik/daire/144722-278,2025-12-03 18:30:12
🏡 ACİL SATILIK – MANİSA MURADİYE KARALI TARAF DUBLEKS 3+1 DAİRE,4.250.000 TL,Manisa,Yunusemre,Karaali Mah.,Manisa / Yunusemre / Karaali Mah.,3 + 1,130,2,4. Kat,8 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Doğu,etin,500 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160648-28,07-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-karaali-satilik/daire/160648-28,2025-12-03 18:30:32
Akhisar belediye yakını satılık daire,3.050.000 TL,Manisa,Akhisar,Hurriyet Mah.,Manisa / Akhisar / Hurriyet Mah.,3 + 1,145,1,2. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,-,-,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı,Satılık,160589-23,25-11-2025,https://www.hepsiemlak.com/manisa-akhisar-hurriyet-satilik/daire/160589-23,2025-12-03 18:30:58
75. Yıl Mahallesi'nde 2 adet 2+1 daire,7.500.000 TL,Manisa,Yunusemre,75 Mah.,Manisa / Yunusemre / 75 Mah.,4 + 2,180,2,2. Kat,16 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,"Kuzey, Doğu, Batı",etin,-,...,Hayır,si 3+1 açık mutfak full özellikli satılık daire,Hatırlatmaları,Eşyalı Değil,Satılık,160440-27,17-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-75-yil-satilik/daire/160440-27,2025-12-03 18:32:54
MANİSA MURADİYE PANOROMA CİTY SIFIR ARAKAT 2+1 K.MUTFAK DAİRE,4.750.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,115,2,1. Kat,1 Yaşında,Yerden Isıtma,Yok,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,150932-52,11-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/150932-52,2025-12-03 18:33:15
ATATÜRK BULVARI ÜZERİ SATILIK DAİRE,2.250.000 TL,Manisa,Turgutlu,Istiklal Mah.,Manisa / Turgutlu / Istiklal Mah.,2 + 1,120,1,3. Kat,26 Yaşında,Klima,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160009-5,08-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-istiklal-satilik/daire/160009-5,2025-12-03 18:33:35
BEYAZ GAYRIMENKULDEN SATILIK FIRSAT 5+2 HAVUZLU MÜSTAKİL EV,5.500.000 TL,Manisa,Sehzadeler,Asagicobanisa Mah.,Manisa / Sehzadeler / Asagicobanisa Mah.,5 + 2,320,2,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Arsa,"Kuzey, Güney, Doğu, Batı",etin,25 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,119915-454,14-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-asagicobanisa-satilik/mustakil-ev/119915-454,2025-12-03 18:33:57
SALİHLİ CİN EMLAK'TAN KURTULUŞ MAH SATILIK 2+1 85 M2 ASANSÖRLÜ DOĞALGAZLI SIFIR DAİRE,4.150.000 TL,Manisa,Salihli,Kurtulus Mah.,Manisa / Salihli / Kurtulus Mah.,2 + 1,90,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,"Doğu, Batı",etin,-,...,Hayır,içerisinde 5 nci kat Satılık Daire,Hatırlatmaları,Eşyalı Değil,Satılık,37897-2376,28-11-2025,https://www.hepsiemlak.com/manisa-salihli-kurtulus-satilik/daire/37897-2376,2025-12-03 18:34:19
MANİSA SALİHLİ DURASILLI MAHALLESİNDE SATILIK SÜPER KONUMLU SATILIK MÜSTAKİL EV,5.750.000 TL,Manisa,Salihli,Durasilli Mah.,Manisa / Salihli / Durasilli Mah.,3 + 0,340,-,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,"Doğu, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı,Satılık,119344-263,20-11-2025,https://www.hepsiemlak.com/manisa-salihli-durasilli-satilik/mustakil-ev/119344-263,2025-12-03 18:34:42
ERGENEKON MAH. FATİH CADDESİNDE ACİL SATILIK DUBLEKS DAİRE,5.250.000 TL,Manisa,Turgutlu,Ergenekon Mah.,Manisa / Turgutlu / Ergenekon Mah.,4 + 1,145,2,4. Kat,1 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,156788-207,18-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-ergenekon-satilik/daire/156788-207,2025-12-03 18:35:01
MURADİYE MAHALLESİNDE 5+1 LÜKS DUBLEKS SATILIK DAİRE,5.450.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,5 + 1,260,2,5. Kat,11 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Güney,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163565-99,16-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/163565-99,2025-12-03 18:35:22
YEDİEYLÜL MAHALLESİNDE 110 METREKARE BAHÇELİ 2+1 SATILIK DAİRE,2.950.000 TL,Manisa,Turgutlu,Yedi Mah.,Manisa / Turgutlu / Yedi Mah.,2 + 1,120,1,1. Kat,21 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Güney,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,161345-11,14-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-yedi-eylul-satilik/daire/161345-11,2025-12-03 18:35:45
Muradiye İstasyon Civarında Modern Tasarımlı 2+1 Kapalı Mutfak,4.600.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,90,2,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Batı,etin,-,...,Hayır,Sıfır 1+1 Kampüse Yakın Yerden Isıtmalı,Hatırlatmaları,Eşyalı Değil,Satılık,162776-48,12-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/162776-48,2025-12-03 18:36:13
"HAYALLERİNİZİN ÇİFTLİĞİ, DOĞA HUZUR KONFOR TAM DONANIM BİR ARADA",19.800.000 TL,Manisa,Kirkagac,Cobanlar Mah.,Manisa / Kirkagac / Cobanlar Mah.,6 + 2,210,1,-,20 Yaşında,Merkezi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,-,Haritası,", kamera sistemiyle sağlanmıştır.",Eşyalı Değil,Satılık,154167-406,25-11-2025,https://www.hepsiemlak.com/manisa-kirkagac-cobanlar-satilik/ciftlik-evi/154167-406,2025-12-03 18:36:54
FİT GAYRİMENKUL'DEN 2+1 SATILIK DAİRE,2.949.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,2 + 1,95,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163843-17,14-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/163843-17,2025-12-03 18:37:17
MANİSA YUNUSEMRE GÜZELYURTTA SİTE İÇERİSİNDE 3+1 DAİRE,8.200.000 TL,Manisa,Yunusemre,Guzelyurt Mah.,Manisa / Yunusemre / Guzelyurt Mah.,3 + 1,140,1,2. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,"Güney, Doğu",etin,400 TL,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,158110-247,27-10-2025,https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-satilik/daire/158110-247,2025-12-03 18:37:36
ATATÜRK MAH. PAZAR PAZARI MEVKİİNDE SATILIK 2+1 DAİRE,2.750.000 TL,Manisa,Akhisar,Ataturk Mah.,Manisa / Akhisar / Ataturk Mah.,2 + 1,100,1,1. Kat,31 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,163257-14,16-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ataturk-satilik/daire/163257-14,2025-12-03 18:37:55
AKMESCİT MAHALLESİ 4+1 SIFIR DAİRE İÇERİSİNDE 23.000 TL KİRACILI,4.650.000 TL,Manisa,Yunusemre,Akmescit Mah.,Manisa / Yunusemre / Akmescit Mah.,4 + 1,175,2,1. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162376-28,20-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-akmescit-satilik/daire/162376-28,2025-12-03 18:38:18
SATILIK KURTULUŞTA ÖZEL OTOPARKLI 3+1 140 M2 LÜKS ARA KAT,5.650.000 TL,Manisa,Salihli,Kurtulus Mah.,Manisa / Salihli / Kurtulus Mah.,3 + 1,140,1,Ara Kat,6 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,"Doğu, Batı",etin,1 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,150639-34,09-10-2025,https://www.hepsiemlak.com/manisa-salihli-kurtulus-satilik/daire/150639-34,2025-12-03 18:38:44
MERCAN EMLAK DİNÇER MAH 3+1 KAPALI MUTF. 120 M2 ÖNÜ PARK 1.BALK.,4.400.000 TL,Manisa,Sehzadeler,Dincer Mah.,Manisa / Sehzadeler / Dincer Mah.,3 + 1,120,1,2. Kat,26 Yaşında,Kombi,Var,Yok,Var,-,Kiracılı,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,106564-517,13-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-dincer-satilik/daire/106564-517,2025-12-03 18:39:03
ANKA GAYRİMENKUL DEN SATİLİK DAİRE,3.500.000 TL,Manisa,Sehzadeler,Arda Mah.,Manisa / Sehzadeler / Arda Mah.,3 + 1,125,1,Ara Kat,40 Yaşında,Doğalgaz Sobası,Var,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,-,etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,152027-28,04-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-arda-satilik/daire/152027-28,2025-12-03 18:39:23
SARIALAN KÖYÜNDE SATILIK 185 M2 ARSALI MÜSTAKİL EV 1.150.000 TL,1.150.000 TL,Manisa,Sehzadeler,Sarialan Mah.,Manisa / Sehzadeler / Sarialan Mah.,1 + 1,185,1,-,34 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,119726-1423,09-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-sarialan-satilik/mustakil-ev/119726-1423,2025-12-03 18:39:40
Salihli Zafer de Satılık 168 m2 Arsa Üstünde 2 Katlı Müstakil Ev,4.250.000 TL,Manisa,Salihli,Zafer Mah.,Manisa / Salihli / Zafer Mah.,8 + 2,240,2,Bahçe Katı,26 Yaşında,Klima,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,46975-1878,21-11-2025,https://www.hepsiemlak.com/manisa-salihli-zafer-satilik/mustakil-ev/46975-1878,2025-12-03 18:39:59
DE&MA EMLAK’TAN İSTASYON CİVARI 3+1 FIRSAT DAİRE,3.200.000 TL,Manisa,Salihli,Namik Mah.,Manisa / Salihli / Namik Mah.,3 + 1,140,1,Kot 2,25 Yaşında,Belirtilmemiş,Yok,Yok,Var,İkinci El,Belirtilmemiş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,152193-89,26-11-2025,https://www.hepsiemlak.com/manisa-salihli-namik-kemal-satilik/daire/152193-89,2025-12-03 18:40:47
