Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric
4.500.000 TL,Turgutlu,3 + 1,205,2,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4500000.0
6.500.000 TL,Turgutlu,3 + 1,190,2,1. Kat,Sıfır Bina,Yerden Isıtma,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,6500000.0
4.800.000 TL,Turgutlu,3 + 1,157,2,3. Kat,4 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4800000.0
5.500.000 TL,Yunusemre,1 + 1,55,1,3. Kat,15 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Müstakil Tapulu,-,Eşyalı Değil,5500000.0
1.750.000 TL,Turgutlu,2 + 1,85,1,3. Kat,21 Yaşında,Klima,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,1750000.0
18.500.000 TL,Yunusemre,4 + 1,170,2,Bahçe Katı,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,18500000.0
1.350.000 TL,Akhisar,2 + 1,95,1,En Üst Kat,28 Yaşında,Kombi,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-,1350000.0
3.650.000 TL,Yunusemre,3 + 1,125,1,5. Kat,21 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3650000.0
2.950.000 TL,Turgutlu,2 + 2,201,2,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Evet,-,2950000.0
3.250.000 TL,Salihli,2 + 1,95,1,4. Kat,4 Yaşında,Jeotermal Isıtm...,Yok,Yok,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,-,3250000.0
1.875.000 TL,Akhisar,3 + 1,125,1,4. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1875000.0
6.950.000 TL,Salihli,3 + 1,269,1,Bahçe Katı,16 Yaşında,Doğalgaz Sobası,Yok,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6950000.0
6.800.000 TL,Akhisar,3 + 1,175,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6800000.0
2.750.000 TL,Turgutlu,3 + 10,140,1,Yüksek Giriş,16 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2750000.0
4.499.000 TL,Turgutlu,3 + 1,145,1,Yüksek Giriş,11 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4499000.0
9.000.000 TL,Akhisar,4 + 2,135,1,-,9 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Belirtilmemiş,Kat İrtifakı,Hayır,-,9000000.0
4.950.000 TL,Yunusemre,3 + 1,130,1,3. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4950000.0
3.750.000 TL,Sehzadeler,3 + 1,125,2,En Üst Kat,28 Yaşında,Kombi,Yok,Var,Yok,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0
2.250.000 TL,Turgutlu,3 + 1,160,1,Zemin,6 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2250000.0
5.000.000 TL,Yunusemre,3 + 1,196,1,3. Kat,11 Yaşında,Klima,Yok,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,5000000.0
2.975.000 TL,Soma,3 + 1,135,2,2. Kat,7 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2975000.0
3.400.000 TL,Yunusemre,2 + 1,90,2,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0
5.500.000 TL,Akhisar,3 + 1,160,2,1. Kat,4 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5500000.0
4.100.000 TL,Akhisar,4 + 1,170,2,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4100000.0
3.550.000 TL,Yunusemre,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-,3550000.0
5.650.000 TL,Turgutlu,3 + 1,135,2,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5650000.0
2.500.000 TL,Turgutlu,2 + 1,100,1,2. Kat,31 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0
2.850.000 TL,Salihli,2 + 1,95,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,-,Kat Mülkiyeti,Hayır,-,2850000.0
4.500.000 TL,Sehzadeler,3 + 1,130,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4500000.0
3.650.000 TL,Turgutlu,2 + 1,130,1,4. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0
7.650.000 TL,Sehzadeler,5 + 2,195,3,Villa Katı,6 Yaşında,Kat Kaloriferi,Var,Yok,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,7650000.0
1.995.000 TL,Saruhanli,1 + 1,55,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1995000.0
3.750.000 TL,Turgutlu,2 + 1,100,1,1. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0
4.990.000 TL,Sehzadeler,3 + 1,180,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4990000.0
3.975.000 TL,Sehzadeler,2 + 1,115,1,Ara Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3975000.0
5.300.000 TL,Sehzadeler,2 + 1,100,1,2. Kat,31 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,5300000.0
5.650.000 TL,Sehzadeler,3 + 1,155,2,Ara Kat,28 Yaşında,Kombi,Var,Var,Yok,-,-,Kat Mülkiyeti,-,-,5650000.0
4.425.000 TL,Akhisar,3 + 1,132,2,3. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,4425000.0
2.900.000 TL,Turgutlu,3 + 1,120,1,2. Kat,7 Yaşında,Kombi,Yok,Var,Yok,-,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0
4.500.000 TL,Alasehir,3 + 1,190,2,4. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4500000.0
1.150.000 TL,Akhisar,3 + 1,109,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1150000.0
4.450.000 TL,Yunusemre,3 + 1,115,1,2. Kat,25 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4450000.0
6.750.000 TL,Akhisar,3 + 1,128,2,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6750000.0
3.600.000 TL,Yunusemre,2 + 1,95,1,2. Kat,5 Yaşında,Kombi,Var,Yok,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3600000.0
4.300.000 TL,Turgutlu,3 + 1,129,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4300000.0
8.200.000 TL,Yunusemre,3 + 1,170,1,1. Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,8200000.0
3.000.000 TL,Salihli,3 + 1,130,1,Zemin,30 Yaşında,Doğalgaz Sobası,Yok,Yok,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3000000.0
3.500.000 TL,Turgutlu,3 + 1,110,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0
9.500.000 TL,Turgutlu,5 + 1,2,1,-,3 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,-,-,-,-,Eşyalı Değil,9500000.0
4.850.000 TL,Akhisar,6 + 1,300,2,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4850000.0
4.800.000 TL,Akhisar,5 + 1,270,3,3. Kat,1 Yaşında,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4800000.0
3.850.000 TL,Salihli,3 + 1,125,1,2. Kat,26 Yaşında,Soba,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3850000.0
3.450.000 TL,Sehzadeler,3 + 1,125,1,Yüksek Giriş,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3450000.0
2.990.000 TL,Turgutlu,5 + 1,190,2,Bahçe Katı,26 Yaşında,Doğalgaz Sobası,Yok,Yok,Yok,-,Kiracılı,Müstakil Tapulu,Evet,Eşyalı Değil,2990000.0
3.400.000 TL,Yunusemre,3 + 1,435,1,Bahçe Katı,34 Yaşında,Soba,Yok,Var,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3400000.0
9.500.000 TL,Turgutlu,5 + 1,300,3,4. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,9500000.0
3.350.000 TL,Yunusemre,2 + 1,80,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3350000.0
3.550.000 TL,Salihli,3 + 1,145,1,1. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,3550000.0
4.800.000 TL,Sehzadeler,3 + 1,120,1,2. Kat,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4800000.0
4.800.000 TL,Yunusemre,3 + 1,130,1,3. Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4800000.0
15.000.000 TL,Yunusemre,5 + 1,380,2,3. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,15000000.0
5.549.000 TL,Saruhanli,5 + 1,185,1,5. Kat,Sıfır Bina,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5549000.0
3.950.000 TL,Turgutlu,3 + 1,125,2,Yüksek Giriş,5 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,-,3950000.0
5.500.000 TL,Turgutlu,3 + 1,135,2,Teras Katı,Sıfır Bina,Kombi,Var,Yok,Yok,Sıfır,Boş,Kat Mülkiyeti,-,Eşyalı Değil,5500000.0
1.950.000 TL,Akhisar,3 + 1,120,-,4. Kat,35 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1950000.0
16.250.000 TL,Akhisar,6 + 1,282,3,Bahçe Katı,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,16250000.0
1.900.000 TL,Turgutlu,1 + 1,100,1,4. Kat,16 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,-,1900000.0
3.300.000 TL,Akhisar,3 + 1,135,1,4. Kat,15 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3300000.0
6.500.000 TL,Saruhanli,4 + 1,140,1,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı,6500000.0
3.250.000 TL,Akhisar,2 + 1,3,1,-,10 Yaşında,Soba,Var,Yok,Yok,İkinci El,Boş,Arsa,Evet,Eşyalı Değil,3250000.0
3.000.000 TL,Akhisar,3 + 0,145,1,Yüksek Giriş,30 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3000000.0
3.150.000 TL,Salihli,3 + 1,150,1,Bodrum,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,-,3150000.0
4.000.000 TL,Kula,2 + 1,11,1,-,9 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,4000000.0
3.850.000 TL,Yunusemre,2 + 1,99,1,3. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0
2.600.000 TL,Yunusemre,1 + 1,55,1,2. Kat,5 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Müstakil Tapulu,-,Eşyalı,2600000.0
40.000 TL,Salihli,3 + 1,285,1,-,40 Yaşında,Klima,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-,40000.0
2.600.000 TL,Saruhanli,2 + 1,90,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0
3.200.000 TL,Akhisar,2 + 1,110,1,2. Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,3200000.0
2.350.000 TL,Akhisar,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-,2350000.0
3.200.000 TL,Salihli,2 + 1,940,1,-,5 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,3200000.0
18.000.000 TL,Sehzadeler,3 + 1,9,1,-,4 Yaşında,Güneş Enerjisi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,18000000.0
4.000.000 TL,Akhisar,4 + 1,275,2,3. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4000000.0
3.050.000 TL,Sehzadeler,2 + 1,300,1,-,15 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Arsa,Hayır,Eşyalı Değil,3050000.0
4.750.000 TL,Yunusemre,3 + 1,125,1,3. Kat,22 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4750000.0
6.300.000 TL,Turgutlu,3 + 1,155,1,-,30 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,6300000.0
3.900.000 TL,Turgutlu,3 + 1,130,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0
4.500.000 TL,Sehzadeler,3 + 1,130,1,3. Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4500000.0
2.250.000 TL,Turgutlu,3 + 1,120,1,2. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2250000.0
3.860.000 TL,Turgutlu,3 + 1,150,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3860000.0
3.350.000 TL,Salihli,2 + 1,120,1,-,20 Yaşında,Kat Kaloriferi,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Evet,-,3350000.0
3.750.000 TL,Yunusemre,2 + 1,100,1,Yüksek Giriş,18 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,-,Eşyalı Değil,3750000.0
6.450.000 TL,Yunusemre,3 + 1,135,1,5. Kat,16 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,6450000.0
5.500.000 TL,Turgutlu,3 + 1,170,2,1. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5500000.0
3.750.000 TL,Turgutlu,2 + 1,110,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0
3.900.000 TL,Yunusemre,3 + 1,125,1,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3900000.0
1.620.000 TL,Turgutlu,2 + 1,95,1,5. Kat,21 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1620000.0
9.000.000 TL,Sehzadeler,5 + 1,300,3,5. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,9000000.0
14.000.000 TL,Yunusemre,3 + 1,130,3,Bahçe Katı,Sıfır Bina,Isı Pompası,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,14000000.0
3.100.000 TL,Yunusemre,2 + 1,95,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0
3.250.000 TL,Yunusemre,2 + 1,85,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3250000.0
3.900.000 TL,Saruhanli,2 + 1,116,1,4. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0
3.650.000 TL,Salihli,3 + 1,140,1,2. Kat,10 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3650000.0
3.750.000 TL,Akhisar,4 + 1,295,3,4. Kat,14 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0
3.850.000 TL,Akhisar,3 + 1,140,2,6. Kat,6 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3850000.0
3.500.000 TL,Yunusemre,2 + 1,306,1,-,35 Yaşında,Isıtma Yok,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı,3500000.0
3.950.000 TL,Sehzadeler,2 + 1,85,1,2. Kat,25 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0
3.750.000 TL,Yunusemre,1 + 1,57,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3750000.0
4.850.000 TL,Akhisar,6 + 1,300,2,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,4850000.0
3.350.000 TL,Turgutlu,3 + 1,125,1,4. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0
4.750.000 TL,Turgutlu,3 + 1,160,2,2. Kat,Sıfır Bina,Merkezi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0
3.590.000 TL,Sehzadeler,3 + 1,115,1,5. Kat,38 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3590000.0
2.575.000 TL,Salihli,2 + 1,99,1,2. Kat,23 Yaşında,Kombi,Var,Var,Yok,-,-,Kat Mülkiyeti,Hayır,-,2575000.0
4.275.000 TL,Yunusemre,3 + 1,125,1,1. Kat,21 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4275000.0
3.750.000 TL,Yunusemre,2 + 1,91,1,2. Kat,5 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3750000.0
5.800.000 TL,Yunusemre,2 + 1,80,1,Yüksek Giriş,2 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,5800000.0
4.250.000 TL,Salihli,4 + 1,220,2,2. Kat,11 Yaşında,Jeotermal Isıtm...,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0
3.150.000 TL,Akhisar,2 + 1,135,2,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0
6.550.000 TL,Yunusemre,3 + 1,125,2,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6550000.0
3.200.000 TL,Yunusemre,2 + 1,90,1,Yüksek Giriş,16 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0
3.800.000 TL,Turgutlu,2 + 1,86,1,1. Kat,Sıfır Bina,Kombi,Var,Yok,Var,Sıfır,Boş,Kat İrtifakı,Evet,-,3800000.0
3.180.000 TL,Yunusemre,2 + 1,90,1,2. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3180000.0
3.800.000 TL,Turgutlu,2 + 1,120,1,10. Kat,4 Yaşında,Merkezi (Pay Öl...,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3800000.0
6.500.000 TL,Ahmetli,7 + 0,350,3,Bahçe Katı,14 Yaşında,Soba,Yok,Yok,Yok,-,-,Müstakil Tapulu,Evet,-,6500000.0
3.740.000 TL,Yunusemre,2 + 1,90,1,3. Kat,23 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3740000.0
4.500.000 TL,Alasehir,3 + 1,126,2,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4500000.0
35.000.000 TL,Yunusemre,7 + 1,480,3,-,16 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,35000000.0
1.800.000 TL,Akhisar,3 + 1,137,1,En Üst Kat,25 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1800000.0
3.449.000 TL,Turgutlu,1 + 1,78,1,1. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3449000.0
4.990.000 TL,Sehzadeler,4 + 1,160,2,En Üst Kat,13 Yaşında,Kombi,Var,Var,Yok,İkinci El,Belirtilmemiş,Kat Mülkiyeti,Hayır,-,4990000.0
2.250.000 TL,Saruhanli,2 + 1,60,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2250000.0
1.950.000 TL,Turgutlu,2 + 1,90,1,Zemin,6 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,1950000.0
2.800.000 TL,Salihli,3 + 1,140,1,5. Kat,35 Yaşında,Klima,Yok,Var,Yok,İkinci El,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,2800000.0
1.440.000 TL,Turgutlu,2 + 1,85,1,4. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1440000.0
4.750.000 TL,Turgutlu,3 + 1,116,1,4. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0
6.300.000 TL,Sehzadeler,3 + 1,145,1,6. Kat,12 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,6300000.0
5.200.000 TL,Salihli,3 + 1,140,1,3. Kat,5 Yaşında,Kombi,Yok,Var,Var,-,-,Kat Mülkiyeti,-,Eşyalı Değil,5200000.0
2.700.000 TL,Akhisar,2 + 1,120,2,Yüksek Giriş,16 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Hisseli Tapu,Hayır,Eşyalı Değil,2700000.0
3.500.000 TL,Sehzadeler,3 + 1,110,1,2. Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0
2.849.000 TL,Sehzadeler,2 + 1,85,1,2. Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2849000.0
2.750.000 TL,Yunusemre,1 + 1,50,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,2750000.0
3.350.000 TL,Sehzadeler,1 + 1,40,1,4. Kat,Sıfır Bina,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3350000.0
3.450.000 TL,Akhisar,3 + 1,140,1,2. Kat,4 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3450000.0
2.350.000 TL,Akhisar,3 + 1,140,1,4. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,2350000.0
4.000.000 TL,Turgutlu,3 + 1,135,1,4. Kat,16 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,4000000.0
3.150.000 TL,Yunusemre,2 + 1,110,1,Zemin,21 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0
