Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Akhisar,140,2,26,1,1,0,Tapu Yok,Hayır,Eşyalı Değil,2450000.0,3,1,4.0,3,0,1,0,0
Akhisar,130,1,26,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1750000.0,3,1,0.0,1,0,1,0,0
Sehzadeler,119,1,31,0,0,0,Müstakil Tapulu,Evet,Eşyalı Değil,2100000.0,2,1,0.0,1,0,1,0,0
Akhisar,226,1,32,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,810000.0,3,1,3.0,1,0,0,1,0
Akhisar,130,1,26,0,0,0,Kat İrtifakı,Hayır,-,1975000.0,3,1,3.0,1,0,0,1,0
Saruhanli,354,1,32,0,0,0,Kat Mülkiyeti,Evet,Eşyalı,1780000.0,2,1,0.5,1,0,0,0,1
Salihli,160,1,21,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2750000.0,3,1,5.0,3,0,0,1,0
Salihli,174,2,3,0,0,0,Arsa,Evet,Eşyalı Değil,7300000.0,2,1,3.0,3,0,0,0,1
Turgutlu,100,1,20,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2099000.0,2,1,4.0,3,0,0,1,0
Akhisar,130,1,21,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı,1980000.0,3,1,0.0,3,0,0,0,1
Ahmetli,145,1,5,0,1,0,Kat İrtifakı,-,-,2900000.0,3,1,0.5,3,0,1,0,0
Akhisar,220,2,11,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,5,1,2.0,3,0,0,0,1
Sehzadeler,120,1,26,1,0,0,Müstakil Tapulu,Evet,Eşyalı Değil,3450000.0,1,1,0.0,3,0,1,0,0
Turgutlu,110,1,7,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1,3.0,3,0,0,1,0
Salihli,60,1,10,0,0,0,Kat İrtifakı,Hayır,Eşyalı,1900000.0,1,1,3.0,1,0,1,0,0
Yunusemre,220,2,2,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,13500000.0,4,1,3.0,3,0,1,0,0
Turgutlu,280,3,0,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0,5,1,6.0,3,0,1,0,0
