M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu,Ilce_Akhisar,Ilce_Alasehir,Ilce_Demirci,Ilce_Gordes,Ilce_Kirkagac,Ilce_Koprubasi,Ilce_Kula,Ilce_Salihli,Ilce_Sarigol,Ilce_Saruhanli,Ilce_Sehzadeler,Ilce_Selendi,Ilce_Soma,Ilce_Turgutlu,Ilce_Yunusemre
120,1,26,1,0,0,1,0,3450000.0,1,1,0.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,1,7,1,0,0,0,0,2650000.0,2,1,3.0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,10,0,0,0,0,1,1900000.0,1,1,3.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,1,6,0,1,1,0,0,3075000.0,3,1,3.0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,1,1,1,1,0,3675000.0,2,1,5.0,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,2,0,0,1,1,0,0,3400000.0,3,1,2.0,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,1,7,0,0,1,0,0,3500000.0,3,1,2.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,1,0,1,0,1,0,2750000.0,2,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,1,4,1,1,0,0,0,4000000.0,2,1,0.5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,3,0,0,0,0,0,3600000.0,1,1,0.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,2,0,0,0,1,0,0,3550000.0,2,1,1.0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,0,1,1,1,0,2585000.0,2,1,3.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
